,Region,Variables,R_2,Var_R,Random_seed
128,Midsouth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8724599035720015,0.0504614902763878,3
129,Midsouth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7764972692290261,0.13118779300187355,4
130,Nashville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8492415889449114,0.03407799640950482,0
131,Nashville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.836262049397066,0.046186809865929934,1
132,Nashville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.41980697096633834,0.4542967850598625,2
133,Nashville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7303465666799982,0.020727801429122783,3
134,Nashville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8280030993033243,0.014433513860888647,4
135,NewOrleansMobile,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7808547360586238,0.11211523998763506,0
136,NewOrleansMobile,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8391255587509949,0.05007913834247413,1
137,NewOrleansMobile,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8511494233975634,0.03504293907051004,2
138,NewOrleansMobile,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.852544001667471,0.036932951755895393,3
139,NewOrleansMobile,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8029513388423312,0.08799558826255649,4
140,NewYork,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8814711276345947,0.05413506224617848,0
141,NewYork,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.4963413756257985,0.3750943168363252,1
142,NewYork,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9509731722819376,0.021978824424202403,2
143,NewYork,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.5324187589638065,1.2497211104572068,3
144,NewYork,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8903548205914372,0.03956865125654374,4
145,Northeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7964926327211149,0.06249700724633023,0
146,Northeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8724868809372657,0.057078890722866094,1
147,Northeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8412277003002357,0.03245285297966383,2
148,Northeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.1895562422263063,0.7024706617036597,3
149,Northeast,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8971773645587224,0.02757924316519733,4
150,NorthernNewEngland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8526467405151572,0.021389845568812738,0
151,NorthernNewEngland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.10434632358123985,1.005294512250654,1
152,NorthernNewEngland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7039752228695951,0.130565841566466,2
153,NorthernNewEngland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.16439360995605778,0.5047640866401535,3
154,NorthernNewEngland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8846375570726276,0.0358134934946136,4
155,Orlando,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7131666776324128,0.18008002378251897,0
156,Orlando,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.88264869954032,0.01117710248289705,1
157,Orlando,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8553488438310386,0.04093174745217398,2
158,Orlando,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8286753207680373,0.05550547963857988,3
159,Orlando,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.820235569715045,0.07413869372841342,4
160,Philadelphia,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8464790718220006,0.07127189898836461,0
161,Philadelphia,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8657167192250272,0.04747560229383585,1
162,Philadelphia,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9311426072851173,0.02476086918347764,2
163,Philadelphia,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7872025318671522,0.013172513458291735,3
164,Philadelphia,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8605961475701317,0.045528023636618564,4
165,PhoenixTucson,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9319008766899389,0.048639834098890944,0
166,PhoenixTucson,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9658474729221638,0.01333534819831017,1
167,PhoenixTucson,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9727748648722826,0.005949813579387175,2
168,PhoenixTucson,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.960854017840883,0.017570638612936396,3
169,PhoenixTucson,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9570575124724167,0.023249009187046643,4
170,Pittsburgh,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7335296853998139,0.09579450401321776,0
171,Pittsburgh,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8450677730002941,0.02690552799948054,1
172,Pittsburgh,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.025498261828196478,0.6403991435697788,2
173,Pittsburgh,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5084208008473435,0.18991434831522624,3
174,Pittsburgh,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.35714086346815477,0.0013209629979473725,4
175,Plains,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9283176417084124,0.023793905373452162,0
176,Plains,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.717520410740508,0.04825526802436986,1
177,Plains,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7506569571626724,0.11482070782019305,2
178,Plains,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8067730108314008,0.07931083334322053,3
179,Plains,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9429806989508454,0.011505850973281162,4
180,Portland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7919428544428536,0.14874856517457735,0
181,Portland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9473264072630487,0.012133676574902386,1
182,Portland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8650821875052646,0.08122892480919652,2
183,Portland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.869788124849481,0.078548794285896,3
184,Portland,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9190257870614322,0.011737664931277814,4
185,RaleighGreensboro,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.6561789661654065,0.09862846941424575,0
186,RaleighGreensboro,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9359014530895962,0.03149974374506248,1
187,RaleighGreensboro,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9133773172775229,0.003631904792745333,2
188,RaleighGreensboro,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7978467143586632,0.10290473193416527,3
189,RaleighGreensboro,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.841713348198845,0.05725927764470451,4
190,RichmondNorfolk,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8137204848709199,0.052721719983941706,0
191,RichmondNorfolk,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.854849117522718,0.05267910428104572,1
192,RichmondNorfolk,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8792481629768306,0.027883439627977458,2
193,RichmondNorfolk,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.4628419744744343,0.2257722456930802,3
194,RichmondNorfolk,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.848581036277687,0.0372093962856378,4
195,Roanoke,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.893110295618986,0.0022053393440184532,0
196,Roanoke,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8366127545830381,0.025443316021331097,1
197,Roanoke,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.28442944623232114,0.5654624860941142,2
198,Roanoke,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-0.7102474734533817,0.7030069805814785,3
199,Roanoke,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8005046924413975,0.06644874502480957,4
200,Sacramento,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5384239200481928,0.13790973387897076,0
201,Sacramento,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9261354774654688,0.02106047401002098,1
202,Sacramento,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9414116096283744,0.009386623456200116,2
203,Sacramento,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8409904392234535,0.09742925828655913,3
204,Sacramento,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.88501837259369,0.057269732846056076,4
205,SanDiego,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9207501282787866,0.03532660076159533,0
206,SanDiego,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9137836255891687,0.045524975949412405,1
207,SanDiego,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9371302057323092,0.0206626854095302,2
208,SanDiego,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9244090531198685,0.025166949516775783,3
209,SanDiego,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9742056025188708,0.027061899082197027,4
210,SanFrancisco,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.874554348852235,0.027151594199227524,0
211,SanFrancisco,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8841374242616696,0.0340161353397489,1
